,TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
0,00:00,6304.320,2750.670,1408.200,1854.030,198.690,32.130
1,00:05,6289.680,2744.430,1410.320,1846.120,197.420,31.840
2,00:10,6258.710,2728.120,1409.500,1833.730,196.870,31.830
3,00:15,6227.230,2707.440,1399.900,1837.310,191.770,31.740
4,00:20,6177.290,2688.180,1387.570,1821.050,191.820,31.590
5,00:25,6154.730,2673.950,1390.690,1809.770,191.690,31.540
6,00:30,6115.440,2663.940,1373.030,1798.590,191.380,31.600
7,00:35,6088.460,2645.620,1369.390,1794.470,191.380,31.380
8,00:40,6050.450,2636.510,1352.990,1780.120,191.190,31.210
9,00:45,6031.520,2618.680,1352.810,1780.530,191.050,31.110
10,00:50,5995.060,2609.710,1343.980,1761.760,191.950,31.090
11,00:55,5951.600,2560.960,1325.230,1775.030,202.210,30.930
12,01:00,5923.180,2570.260,1329.630,1746.420,190.780,30.950
13,01:05,5872.310,2549.730,1316.760,1729.830,189.590,30.800
14,01:10,5860.820,2543.590,1318.980,1726.790,185.920,30.760
15,01:15,5842.300,2537.410,1313.980,1718.230,186.160,31.020
16,01:20,5798.120,2513.400,1301.830,1711.790,185.270,30.870
17,01:25,5784.440,2504.960,1298.440,1708.680,184.850,30.790
18,01:30,5750.130,2489.960,1289.870,1700.190,184.990,30.770
19,01:35,5720.730,2476.820,1281.790,1691.190,185.250,30.620
20,01:40,5695.620,2468.920,1277.180,1681.000,184.680,30.640
21,01:45,5690.390,2463.170,1276.090,1682.100,184.590,30.580
22,01:50,5676.860,2460.720,1272.300,1676.190,184.760,30.690
23,01:55,5659.390,2457.970,1262.700,1670.420,184.640,30.590
24,02:00,5640.800,2451.700,1256.270,1665.190,183.390,30.600
25,02:05,5596.470,2434.650,1245.340,1650.400,183.170,30.380
26,02:10,5581.000,2429.720,1242.500,1644.070,182.870,30.440
27,02:15,5562.760,2420.270,1240.770,1635.770,182.890,30.380
28,02:20,5539.900,2411.620,1232.310,1630.470,183.020,30.250
29,02:25,5511.960,2396.750,1225.770,1623.350,183.450,30.250
30,02:30,5494.680,2389.480,1224.910,1615.220,182.520,30.300
31,02:35,5479.690,2378.850,1219.480,1616.630,182.610,30.140
32,02:40,5461.830,2375.100,1213.330,1608.600,182.360,30.200
33,02:45,5432.900,2360.340,1209.110,1599.370,182.720,29.870
34,02:50,5397.480,2348.650,1201.160,1584.560,182.120,29.970
35,02:55,5348.790,2319.860,1189.700,1576.910,180.720,29.780
36,03:00,5324.120,2315.840,1179.690,1566.400,182.160,29.660
37,03:05,5293.720,2299.480,1173.770,1559.550,181.010,29.600
38,03:10,5247.200,2267.130,1165.950,1552.360,181.060,29.350
39,03:15,5233.290,2263.750,1164.360,1544.780,181.010,29.380
40,03:20,5215.110,2258.330,1160.880,1536.770,180.510,29.210
41,03:25,5189.210,2249.070,1152.430,1528.480,180.710,29.310
42,03:30,5164.080,2237.250,1143.130,1524.660,180.110,29.230
43,03:35,5156.280,2228.910,1145.110,1523.620,180.240,29.150
44,03:40,5127.060,2216.790,1135.630,1516.750,180.040,29.000
45,03:45,5102.730,2208.470,1126.940,1509.040,179.880,28.980
46,03:50,5075.530,2203.610,1120.440,1504.850,179.040,29.030
47,03:55,5058.380,2184.310,1119.430,1498.640,179.110,28.920
48,04:00,5043.500,2176.190,1113.830,1497.920,178.820,28.790
49,04:05,5023.530,2167.040,1108.110,1492.510,179.050,28.800
50,04:10,5004.510,2163.330,1101.740,1486.540,178.090,28.620
51,04:15,4979.310,2153.600,1094.390,1478.250,176.930,28.640
52,04:20,4969.100,2148.390,1090.190,1475.210,178.290,28.550
53,04:25,4961.180,2147.720,1086.020,1472.490,179.140,28.750
54,04:30,4939.340,2134.030,1088.100,1465.390,178.160,28.770
55,04:35,4928.420,2134.330,1079.770,1459.670,179.110,28.740
56,04:40,4904.140,2124.300,1072.500,1452.620,179.150,28.860
57,04:45,4893.200,2116.310,1073.680,1449.180,178.300,29.030
58,04:50,4871.050,2110.440,1067.260,1439.450,178.940,28.960
59,04:55,4840.070,2094.160,1059.280,1432.900,178.940,29.100
60,05:00,4832.620,2094.550,1055.650,1428.730,178.910,29.180
61,05:05,4798.690,2060.640,1058.040,1425.030,179.910,29.500
62,05:10,4780.450,2075.620,1044.760,1405.140,179.880,29.550
63,05:15,4791.280,2066.760,1049.360,1412.460,180.870,29.740
64,05:20,4797.690,2072.200,1047.050,1419.970,180.430,29.850
65,05:25,4770.950,2061.410,1044.530,1409.600,180.780,30.020
66,05:30,4740.690,2043.430,1038.640,1405.410,180.940,29.910
67,05:35,4747.400,2048.160,1041.990,1402.930,180.360,30.250
68,05:40,4715.490,2036.250,1032.740,1392.560,180.800,30.530
69,05:45,4711.460,2003.840,1032.610,1394.930,180.580,30.750
70,05:50,4673.640,2004.560,1030.180,1388.890,179.320,30.800
71,05:55,4674.500,2016.570,1030.190,1380.340,179.590,30.940
72,06:00,4659.110,2004.330,1022.150,1376.840,179.430,31.190
73,06:05,4638.720,1995.000,1017.480,1367.940,179.400,31.230
74,06:10,4632.360,1989.140,1020.680,1369.440,178.680,31.180
75,06:15,4618.130,1969.280,1024.080,1370.380,179.420,31.060
76,06:20,4633.350,1983.250,1022.070,1372.620,179.730,31.010
