,Movies Names,Ratings,Metascore,votes,Gross
0,1.Logan(2017),8.1,77,759679,226.28M
1,2.Thor:Ragnarok(2017),7.9,74,748158,315.06M
2,3.GuardiansoftheGalaxyVol.2(2017),7.6,67,677987,389.81M
3,4.WonderWoman(2017),7.4,76,656903,412.56M
4,5.Dunkirk(2017),7.8,94,655272,188.37M
5,6.Spider-Man:Homecoming(2017),7.4,73,653844,334.20M
6,7.StarWars:EpisodeVIII-TheLastJedi(2017),6.9,84,630199,620.18M
7,8.GetOut(I)(2017),7.7,85,605353,176.04M
8,9.BladeRunner2049(2017),8.0,81,568155,92.05M
9,10.It(I)(2017),7.3,69,547095,327.48M
10,11.BabyDriver(2017),7.6,86,535802,107.83M
11,"12.ThreeBillboardsOutsideEbbing,Missouri(2017)",8.1,88,505244,54.51M
12,13.Coco(I)(2017),8.4,81,503790,209.73M
13,14.Lacasadepapel(2017–2021),8.2,,474628,
14,15.JusticeLeague(2017),6.1,45,452765,229.02M
15,16.JohnWick:Chapter2(2017),7.4,75,431042,92.03M
16,17.TheShapeofWater(2017),7.3,87,419808,63.86M
17,18.Jumanji:WelcometotheJungle(2017),6.9,58,380366,404.52M
18,19.Dark(2017–2020),8.7,,379836,
19,20.Kingsman:TheGoldenCircle(2017),6.7,44,328345,100.23M
20,21.Kong:SkullIsland(2017),6.6,62,319935,168.05M
21,22.Ozark(2017–2022),8.5,,314034,
22,23.PiratesoftheCaribbean:DeadMenTellNoTales(2017),6.5,39,312101,172.56M
23,24.BeautyandtheBeast(I)(2017),7.1,65,309427,504.01M
24,25.13ReasonsWhy(2017–),7.5,,292139,
25,26.LadyBird(2017),7.4,93,290704,48.96M
26,27.Mindhunter(2017–2019),8.6,,287371,
27,28.Alien:Covenant(2017),6.4,65,282449,74.26M
28,29.TheGreatestShowman(2017),7.5,48,281801,174.34M
29,30.CallMebyYourName(2017),7.8,93,272328,18.10M
30,31.MurderontheOrientExpress(2017),6.5,52,258444,102.83M
31,32.WarforthePlanetoftheApes(2017),7.4,82,257873,146.88M
32,33.WindRiver(2017),7.7,73,252171,33.80M
33,34.ThePunisher(2017–2019),8.5,,235629,
34,35.TheHandmaid'sTale(2017–),8.4,,235124,
35,36.TheFateoftheFurious(2017),6.6,56,232754,226.01M
36,37.Life(I)(2017),6.6,54,232137,30.23M
37,38.TheHitman'sBodyguard(2017),6.9,47,231791,75.47M
38,39.Mother!(2017),6.6,75,226972,17.80M
39,40.KingArthur:LegendoftheSword(2017),6.7,41,217818,39.18M
40,"41.I,Tonya(2017)",7.5,77,216481,30.01M
41,42.GhostintheShell(2017),6.3,52,215811,40.56M
42,43.DarkestHour(2017),7.4,75,203198,56.47M
43,44.BigLittleLies(2017–2019),8.5,,198743,
44,45.AtomicBlonde(2017),6.7,63,194873,51.69M
45,46.TheMummy(2017),5.4,34,191122,80.10M
46,47.Bright(I)(2017),6.3,29,190113,
47,48.TheEndoftheF***ingWorld(2017–2019),8.1,,189786,
48,49.Baywatch(2017),5.5,37,187342,58.06M
49,50.AmericanMade(2017),7.1,65,185212,51.34M
50,51.ValerianandtheCityofaThousandPlanets(2017),6.4,51,182475,41.19M
51,52.Molly'sGame(2017),7.4,71,172875,28.78M
52,53.Wonder(I)(2017),7.9,66,165044,132.42M
53,54.TheKillingofaSacredDeer(2017),7.0,73,155395,2.29M
54,55.TheDisasterArtist(2017),7.3,76,154727,21.12M
55,56.TheLegoBatmanMovie(2017),7.3,75,152635,175.75M
56,57.Transformers:TheLastKnight(2017),5.2,27,152432,130.17M
57,58.ThePost(2017),7.2,83,151823,81.90M
58,59.LoganLucky(2017),7.0,78,150774,27.78M
59,60.Riverdale(2017–),6.6,,145160,
60,61.HappyDeathDay(2017),6.6,58,143414,55.68M
61,62.TheDarkTower(2017),5.6,34,139486,50.70M
62,63.Taboo(2017–),8.3,,138564,
