Movie Name,Ratings,Metascore,Votes,Gross
1.Logan(2017),8.1,77,759447,$226.28M
2.Thor:Ragnarok(2017),7.9,74,747875,$315.06M
3.GuardiansoftheGalaxyVol.2(2017),7.6,67,677731,$389.81M
4.WonderWoman(2017),7.4,76,656717,$412.56M
5.Dunkirk(2017),7.8,94,655011,$188.37M
6.Spider-Man:Homecoming(2017),7.4,73,653608,$334.20M
7.StarWars:EpisodeVIII-TheLastJedi(2017),6.9,84,630060,$620.18M
8.GetOut(I)(2017),7.7,85,604940,$176.04M
9.BladeRunner2049(2017),8.0,81,567831,$92.05M
10.It(I)(2017),7.3,69,546838,$327.48M
11.BabyDriver(2017),7.6,86,535498,$107.83M
"12.ThreeBillboardsOutsideEbbing,Missouri(2017)",8.1,88,505069,$54.51M
13.Coco(I)(2017),8.4,81,503533,$209.73M
14.Lacasadepapel(2017–2021),8.2,,474431,
15.JusticeLeague(2017),6.1,45,452639,$229.02M
16.JohnWick:Chapter2(2017),7.4,75,430865,$92.03M
17.TheShapeofWater(2017),7.3,87,419676,$63.86M
18.Jumanji:WelcometotheJungle(2017),6.9,58,380197,$404.52M
19.Dark(2017–2020),8.7,,379146,
20.Kingsman:TheGoldenCircle(2017),6.7,44,328211,$100.23M
21.Kong:SkullIsland(2017),6.6,62,319860,$168.05M
22.Ozark(2017–2022),8.5,,313902,
23.PiratesoftheCaribbean:DeadMenTellNoTales(2017),6.5,39,311985,$172.56M
24.BeautyandtheBeast(I)(2017),7.1,65,309349,$504.01M
25.13ReasonsWhy(2017–2020),7.5,,292045,
26.LadyBird(2017),7.4,93,290589,$48.96M
27.Mindhunter(2017–2019),8.6,,287207,
28.Alien:Covenant(2017),6.4,65,282383,$74.26M
29.TheGreatestShowman(2017),7.5,48,281688,$174.34M
30.CallMebyYourName(2017),7.8,93,272135,$18.10M
31.MurderontheOrientExpress(2017),6.5,52,258338,$102.83M
32.WarforthePlanetoftheApes(2017),7.4,82,257816,$146.88M
33.WindRiver(2017),7.7,73,252052,$33.80M
34.ThePunisher(2017–2019),8.5,,235514,
35.TheHandmaid'sTale(2017–),8.4,,234872,
36.TheFateoftheFurious(2017),6.6,56,232685,$226.01M
37.Life(I)(2017),6.6,54,232067,$30.23M
38.TheHitman'sBodyguard(2017),6.9,47,231731,$75.47M
39.Mother!(2017),6.6,75,226893,$17.80M
40.KingArthur:LegendoftheSword(2017),6.7,41,217777,$39.18M
"41.I,Tonya(2017)",7.5,77,216409,$30.01M
42.GhostintheShell(2017),6.3,52,215767,$40.56M
43.DarkestHour(2017),7.4,75,203111,$56.47M
44.BigLittleLies(2017–2019),8.5,,198616,
45.AtomicBlonde(2017),6.7,63,194815,$51.69M
46.TheMummy(2017),5.4,34,191070,$80.10M
47.Bright(I)(2017),6.3,29,190069,
48.TheEndoftheF***ingWorld(2017–2019),8.1,,189659,
49.Baywatch(2017),5.5,37,187301,$58.06M
50.AmericanMade(2017),7.1,65,185119,$51.34M
51.ValerianandtheCityofaThousandPlanets(2017),6.4,51,182416,$41.19M
52.Molly'sGame(2017),7.4,71,172796,$28.78M
53.Wonder(I)(2017),7.9,66,164996,$132.42M
54.TheKillingofaSacredDeer(2017),7.0,73,155305,$2.29M
55.TheDisasterArtist(2017),7.3,76,154685,$21.12M
56.TheLegoBatmanMovie(2017),7.3,75,152580,$175.75M
57.Transformers:TheLastKnight(2017),5.2,27,152396,$130.17M
58.ThePost(2017),7.2,83,151785,$81.90M
59.LoganLucky(2017),7.0,78,150720,$27.78M
60.Riverdale(2017–),6.6,,145127,
61.HappyDeathDay(2017),6.6,58,143338,$55.68M
62.TheDarkTower(2017),5.6,34,139464,$50.70M
63.Taboo(2017–),8.3,,138508,
64.DespicableMe3(2017),6.2,49,136591,$264.62M
65.TheBigSick(2017),7.5,86,136063,$42.87M
66.Annabelle:Creation(2017),6.5,62,135637,$102.09M
67.PhantomThread(2017),7.4,90,133221,$21.02M
68.IronFist(2017–2018),6.4,,131391,
69.TheBossBaby(2017),6.3,50,127839,$175.00M
70.T2Trainspotting(2017),7.2,67,124984,$2.40M
71.GoodTime(2017),7.3,80,124533,$2.03M
72.TheSinner(2017–2021),7.9,,124185,
73.WhatHappenedtoMonday(2017),6.8,47,123817,
74.StarTrek:Discovery(2017–),7.0,,123047,
75.Okja(2017),7.3,75,122182,
76.YouWereNeverReallyHere(2017),6.7,84,119980,$2.52M
77.Gifted(2017),7.6,60,117559,$24.80M
78.TheForeigner(I)(2017),7.0,55,115507,$34.39M
79.TheFloridaProject(2017),7.6,92,115228,$5.90M
80.TheMarvelousMrs.Maisel(2017–),8.7,,114175,
81.Downsizing(2017),5.8,63,111625,$24.45M
82.Gerald'sGame(2017),6.5,77,111163,
83.Geostorm(2017),5.3,21,108879,$33.70M
84.PowerRangers(2017),5.9,44,108795,$85.36M
85.TheDefenders(2017),7.2,,108128,
86.TheDeathofStalin(2017),7.2,88,103798,$8.04M
87.FiftyShadesDarker(2017),4.5,33,103404,$114.38M
88.TheRitual(I)(2017),6.3,57,101924,
89.Baahubali2:TheConclusion(2017),8.2,,101804,
90.Cars3(2017),6.7,59,101025,$152.90M
91.ItComesatNight(2017),6.2,78,94804,$13.99M
92.TheGoodDoctor(2017–),8.1,,94798,
93.TheBabysitter(I)(2017),6.3,,94165,
94.TheCircle(I)(2017),5.3,43,93451,$20.50M
95.xXx:ReturnofXanderCage(2017),5.2,42,92727,$44.90M
96.Legion(2017–2019),8.2,,91397,
97.GameofThrones(2011–2019)Episode:TheSpoilsofWar(2017),9.7,,89539,
98.Atypical(2017–2021),8.3,,88888,
99.ShotCaller(2017),7.3,59,87319,
100.TheOrville(2017–),8.0,,87306,
101.AmericanGods(2017–),7.7,,86756,
102.GoinginStyle(2017),6.6,50,86177,$45.02M
103.Hostiles(2017),7.2,65,85998,$29.82M
104.AlltheMoneyintheWorld(2017),6.8,72,85776,$25.11M
105.DeathNote(I)(2017),4.5,43,85499,
106.AmericanAssassin(2017),6.2,45,83314,$36.25M
107.Jigsaw(I)(2017),5.7,39,80505,$38.05M
108.BigMouth(2017–),7.9,,79494,
109.Paddington2(2017),7.8,88,79293,$40.44M
110.Papillon(I)(2017),7.2,51,76268,$2.34M
111.TheMountainBetweenUs(2017),6.4,48,75927,$30.35M
112.Daddy'sHome2(2017),6.0,30,74154,$104.03M
113.Reis(2017),1.0,,73619,
114.ADog'sPurpose(2017),7.2,43,73038,$64.51M
115.AGhostStory(2017),6.8,84,73018,$1.60M
116.OnlytheBrave(2017),7.6,72,70382,$18.34M
117.SantaClaritaDiet(2017–2019),7.8,,68461,
118.TwinPeaks(2017),8.5,,67929,
119.Godless(2017),8.3,,67818,
120.BrawlinCellBlock99(2017),7.1,79,67353,
121.TheSquare(2017),7.2,73,65941,$1.50M
122.Castlevania(2017–2021),8.3,,65838,
123.GameofThrones(2011–2019)Episode:BeyondtheWall(2017),9.0,,65292,
124.GameofThrones(2011–2019)Episode:TheDragonandtheWolf(2017),9.4,,65204,
125.TheSnowman(2017),5.1,23,65142,$6.67M
126.TheEmojiMovie(2017),3.3,12,64991,$86.09M
127.PitchPerfect3(2017),5.8,40,64966,$104.90M
128.1922(2017),6.2,70,64381,
129.YoungSheldon(2017–),7.6,,61720,
130.ASeriesofUnfortunateEvents(2017–2019),7.8,,61215,
131.Manhunt(II)(2017–),8.1,,59892,
132.Idon'tfeelathomeinthisworldanymore.(2017),6.9,75,58545,
133.LovingVincent(2017),7.8,62,58446,$6.74M
