State,ISO,Vehiclecode,Zone,Capital,Largest city,Statehood,Population(2011)[citation needed],Area(km2),Officiallanguages[39],Additional officiallanguages[39]
Andhra Pradesh,IN-AP,AP,Southern,Amaravati,Visakhapatnam,1 November 1956,"49,506,799","162,975",Telugu,—
Arunachal Pradesh,IN-AR,AR,North-Eastern,Itanagar,Itanagar,20 February 1987,"1,383,727","83,743",English,—
Assam,IN-AS,AS,North-Eastern,Dispur,Guwahati,26 January 1950,"31,205,576","78,550",Assamese,"Bengali, Bodo"
Bihar,IN-BR,BR,Eastern,Patna,Patna,26 January 1950,"104,099,452","94,163",Hindi,Urdu
Chhattisgarh,IN-CT,CG,Central,Raipur[a],Raipur[a],1 November 2000,"25,545,198","135,194",Chhattisgarhi,"Hindi, English"
Goa,IN-GA,GA,Western,Panaji,Vasco da Gama,30 May 1987,"1,458,545","3,702",Konkani,Marathi
Gujarat,IN-GJ,GJ,Western,Gandhinagar,Ahmedabad,1 May 1960,"60,439,692","196,024",Gujarati,—
Haryana,IN-HR,HR,Northern,Chandigarh,Faridabad,1 November 1966,"25,351,462","44,212",Hindi,Punjabi[40][41]
Himachal Pradesh,IN-HP,HP,Northern,Shimla (Summer)Dharamshala (Winter)[42],Shimla,25 January 1971,"6,864,602","55,673",Hindi,Sanskrit[43]
Jharkhand,IN-JH,JH,Eastern,Ranchi,Jamshedpur,15 November 2000,"32,988,134","74,677",Hindi,"Angika, Bengali, Bhojpuri, Bhumij, Ho, Kharia, Khortha, Kurmali, Kurukh, Magahi, Maithili, Mundari, Nagpuri, Odia, Santali, Urdu[44][45]"
Karnataka,IN-KA,KA,Southern,Bangalore,Bangalore,1 November 1956,"61,095,297","191,791",Kannada,—
Kerala,IN-KL,KL,Southern,Thiruvananthapuram,Thiruvananthapuram,1 November 1956,"33,406,061","38,863",Malayalam,English[46]
Madhya Pradesh,IN-MP,MP,Central,Bhopal,Indore,26 January 1950,"72,626,809","308,252",Hindi,—
Maharashtra,IN-MH,MH,Western,Mumbai (Summer)Nagpur (Winter)[47][48],Mumbai,1 May 1960,"112,374,333","307,713",Marathi,—
Manipur,IN-MN,MN,North-Eastern,Imphal,Imphal,21 January 1972,"2,855,794","22,347",Meitei,English
Meghalaya,IN-ML,ML,North-Eastern,Shillong,Shillong,21 January 1972,"2,966,889","22,720",English,Khasi[b]
Mizoram,IN-MZ,MZ,North-Eastern,Aizawl,Aizawl,20 February 1987,"1,097,206","21,081","English, Hindi, Mizo",—
Nagaland,IN-NL,NL,North-Eastern,Kohima,Dimapur,1 December 1963,"1,978,502","16,579",English,—
Odisha,IN-OR,OD,Eastern,Bhubaneswar,Bhubaneswar,26 January 1950,"41,974,218","155,820",Odia,—
Punjab,IN-PB,PB,Northern,Chandigarh,Ludhiana,1 November 1966,"27,743,338","50,362",Punjabi,—
Rajasthan,IN-RJ,RJ,Northern,Jaipur,Jaipur,26 January 1950,"68,548,437","342,269",Hindi,English
Sikkim,IN-SK,SK,North-Eastern,Gangtok,Gangtok,16 May 1975,"610,577","7,096","English, Nepali","Bhutia, Gurung, Lepcha, Limbu, Manggar, Mukhia, Newari, Rai, Sherpa, Tamang"
Tamil Nadu,IN-TN,TN,Southern,Chennai,Chennai,1 November 1956,"72,147,030","130,058",Tamil,English
Telangana,IN-TG,TS,Southern,Hyderabad[c],Hyderabad[c],2 June 2014,"35,193,978[53]","112,077[53]",Telugu,Urdu[54]
Tripura,IN-TR,TR,North-Eastern,Agartala,Agartala,21 January 1972,"3,673,917","10,492","Bengali, English, Kokborok",—
Uttar Pradesh,IN-UP,UP,Central,Lucknow,Lucknow,26 January 1950,"199,812,341","243,286",Hindi,Urdu
Uttarakhand,IN-UT,UK,Central,Bhararisain (Summer)Dehradun (Winter)[55],Dehradun,9 November 2000,"10,086,292","53,483",Hindi,Sanskrit[56]
West Bengal,IN-WB,WB,Eastern,Kolkata,Kolkata,26 January 1950,"91,276,115","88,752","Bengali, Nepali[d]","Hindi, Odia, Punjabi, Santali, Telugu, Urdu"
